id;make;model;color;vin
1;SMS Shoes;Vision-oriented;sky blue;Portugal
2;backing collaborative Avon;monitor overriding;maroon;Multi-tiered Officer
3;payment;backing Consultant;orchid;Coves Lead Riyal
4;Intranet Investment Avon;Group efficient Licensed;magenta;visualize Kansas gold
5;Human mobile Arkansas;Home;blue;back-end
6;transitional;Towels experiences;teal;Pizza
7;Gloves copying;systemic;lavender;Tasty
8;Cotton needs-based;Ireland digital azure;silver;Knoll Ecuador Manager
9;matrices;Customer auxiliary;indigo;quantify
10;Legacy;Euro Bangladesh Kong;lime;out-of-the-box benchmark
